product_id,product_name,product_picture,product_picture,product_category, product_price ,product_description1,product_description2,product_description3,product_description4,product_status,product_new,product_featured,product_sale_price,product_bulk_quantity,product_bulk_price
1009,Bourbon Choco & Coffee Biscuit 108g,1009-1,1009-2,snacks,7.5,24pcs/box,,,,true,true,false,0,0,0
1010,Bourbon Choco & Digestive Biscuit 98g,1010-1,1010-2,snacks,7.5,17pcs/box,,,,true,true,false,0,0,0
1011,Furuta Green Tea Cookies 87g,1011-1,1011-2,snacks,7,10pcs/box,,,,true,true,false,0,0,0
1012,Furuta Milk Cookies 80g,1012-1,1012-2,snacks,7,12pcs/box,,,,true,true,false,0,0,0
1013,Koikeya Pride Potato Chips (Seaweed Salt) 58g,1013-1,1013-2,snacks,8,,,,,true,true,false,0,0,0
1014,Koikeya Pride Potato Chips (Light Salt) 60g,1014-1,1014-2,snacks,8,,,,,true,true,false,0,0,0
1015,Koikeya Pride Potato Chips (Wagyu) 58g,1015-1,1015-2,snacks,8,,,,,true,true,false,0,0,0
1016,Koikeya Pride Potato Chips (No Salt) 60g,1016-1,1016-2,snacks,8,,,,,true,true,false,0,0,0
1017,Koikeya Pure Potato Chips (Okhotsk Salt & Rock Salt) 58g,1017-1,1017-2,snacks,6.5,,,,,true,true,false,0,0,0
1018,Koikeya Pure Potato Chips (Sesame Oil & Rock Salt) 58g,1018-1,1018-2,snacks,6.5,,,,,true,true,false,0,0,0
1019,Koikeya Pure Potato Chips (Setouchi Green Seaweed & Salt) 58g,1019-1,1019-2,snacks,6.5,,,,,true,true,false,0,0,0
1020,Koikeya Pure Potato Chips (Royal Road Potato Salad) 58g,1020-1,1020-2,snacks,6.5,,,,,true,true,false,0,0,0
1021,Calbee Jagabee Butter Soy Sauce 80g,1021-1,1021-2,snacks,11.5,16g x 5pkts,,,,true,true,false,0,0,0
1022,Calbee Jagabee Light Salt 80g,1022-1,1022-2,snacks,11.5,16g x 5pkts,,,,true,true,false,0,0,0
1023,Calbee Jagabee Light Salt 40g,1023-1,1023-2,snacks,7,resealable packaging,,,,true,true,false,0,0,0
1024,Calbee Thick Jagabee Sour Cream 35g,1024-1,1024-2,snacks,7,resealable packaging,,,,true,true,false,0,0,0
1025,Calbee Potato Delux Mild Salt 50g,1025-1,1025-2,snacks,7.5,2pcs x 9pkt,,,,true,true,false,0,0,0
1026,Calbee Potato Delux Black Pepper 50g,1026-1,1026-2,snacks,7.5,16g x 5pkts,,,,true,true,false,0,0,0
1027,Sanko Yuki No Yado Rice Cracker 日本三幸雪宿米饼 (Original) ,1027-1,1027-2,snacks,10.5,2pcs x 12pkt,,,,true,true,false,0,0,0
1028,Sanko Yuki No Yado Rice Cracker 日本黑糖米饼 (Brown Sugar),1028-1,1028-2,snacks,10.5,2pcs x 12pkt,,,,true,true,false,0,0,0
1029,Sanko Yuki No Yado Rice Cracker 日本盐味米饼 (Salt),1029-1,1029-2,snacks,7.9,2pcs x 9pkt,,,,true,true,false,0,0,0
1030,Tohato Bitter Caramel Corn 77g,1030-1,1030-2,snacks,5.6,,,,,true,true,false,0,0,0
1031,Tohato Almond Caramel Corn 70g,1031-1,1031-2,snacks,5.6,,,,,true,true,false,0,0,0
1032,FritoLay Tortilla Chips Avocado & Cream Cheese 70g,1032-1,1032-2,snacks,7,,,,,true,true,false,0,0,0
1101,Marukome Miso Paste 味噌酱 375g,1101-1,1101-2,sauces,13,,,,,true,true,false,0,0,0
1102,Mizkan Gold Sesame Calorie Half 芝麻酱 250mL,1102-1,,sauces,18.5,,,,,true,true,false,0,0,0
